"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Barkerville","1A03P	","British Columbia","Cooperator Snow Sensors","	","4865","53.05","-121.48333","	",,"1-26-2024, 11:42 AM EST"
"Base Camp","314	","Wyoming","SNOTEL","Teton","7060","43.94019","-110.44544","170401010304	",,"1-26-2024, 11:42 AM EST"
"Basin Creek","315	","Montana","SNOTEL","Silver Bow","7180","45.79737","-112.52047","170102010201	",,"1-26-2024, 11:42 AM EST"
"Bassoo Peak","1190	","Montana","SNOTEL","Sanders","5150","47.85562","-114.75841","170102120105	",,"1-26-2024, 11:42 AM EST"
"Bateman","316	","New Mexico","SNOTEL","Rio Arriba","9249","36.51174","-106.31543","130201020901	",,"1-26-2024, 11:42 AM EST"
"Battle Mountain","317	","Wyoming","SNOTEL","Carbon","7498","41.05402","-107.26674","140500030109	",,"1-26-2024, 11:42 AM EST"
"Beagle Springs","318	","Montana","SNOTEL","Beaverhead","8850","44.47147","-112.98191","100200010501	",,"1-26-2024, 11:42 AM EST"
"Bear Basin","319	","Idaho","SNOTEL","Adams","5350","44.95222","-116.14293","170602100104	",,"1-26-2024, 11:42 AM EST"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7900","43.74367","-113.93797","170402180101	",,"1-26-2024, 11:42 AM EST"
"Bear Creek","321	","Nevada","SNOTEL","Elko","8040","41.83384","-115.45278","170501020301	",,"1-26-2024, 11:42 AM EST"
"Bear Grass","1166	","Oregon","SNOTEL","Linn","4720","44.3253","-122.0938","170900040203	",,"1-26-2024, 11:42 AM EST"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9522","40.31176","-105.6467","101900060201	",,"1-26-2024, 11:42 AM EST"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	",,"1-26-2024, 11:42 AM EST"
"Bear River","1061	","Colorado","SNOTEL","Routt","9112","40.06152","-107.00948","140500010102	",,"1-26-2024, 11:42 AM EST"
"Bear River RS","992	","Utah","SNOTEL","Summit","8777","40.8852","-110.8277","160101010106	",,"1-26-2024, 11:42 AM EST"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	",,"1-26-2024, 11:42 AM EST"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	",,"1-26-2024, 11:42 AM EST"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	",,"1-26-2024, 11:42 AM EST"
"Beartown","327	","Colorado","SNOTEL","San Juan","11600","37.71433","-107.5124","130100010104	",,"1-26-2024, 11:42 AM EST"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8565","39.59871","-106.51113","140100030301	",,"1-26-2024, 11:42 AM EST"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	",,"1-26-2024, 11:42 AM EST"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	",,"1-26-2024, 11:42 AM EST"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	",,"1-26-2024, 11:42 AM EST"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","8076","33.69115","-109.21685","150601010107	",,"1-26-2024, 11:42 AM EST"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	",,"1-26-2024, 11:42 AM EST"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	",,"1-26-2024, 11:42 AM EST"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9255","36.32671","-109.05702","140802040401	",,"1-26-2024, 11:42 AM EST"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	",,"1-26-2024, 11:42 AM EST"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	",,"1-26-2024, 11:42 AM EST"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	",,"1-26-2024, 11:42 AM EST"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11314","39.80364","-105.77786","140100010202	",,"1-26-2024, 11:42 AM EST"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	",,"1-26-2024, 11:42 AM EST"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	",,"1-26-2024, 11:42 AM EST"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	",,"1-26-2024, 11:42 AM EST"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	",,"1-26-2024, 11:42 AM EST"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	",,"1-26-2024, 11:42 AM EST"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	",,"1-26-2024, 11:42 AM EST"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	",,"1-26-2024, 11:42 AM EST"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	",,"1-26-2024, 11:42 AM EST"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	",,"1-26-2024, 11:42 AM EST"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	",,"1-26-2024, 11:42 AM EST"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	",,"1-26-2024, 11:42 AM EST"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	",,"1-26-2024, 11:42 AM EST"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7537","39.46138","-114.64863","160600081304	",,"1-26-2024, 11:42 AM EST"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10964","39.76458","-107.35628","140100011401	",,"1-26-2024, 11:42 AM EST"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4920","47.68389","-113.99901","170102120602	",,"1-26-2024, 11:42 AM EST"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8170","44.50832","-111.12803","100200070202	",,"1-26-2024, 11:42 AM EST"
"Black Flat-U.M. Ck","348	","Utah","SNOTEL","Sevier","9414","38.6799","-111.59765","140700030101	",,"1-26-2024, 11:42 AM EST"
"Black Mesa","1185	","Colorado","SNOTEL","Dolores","11564","37.78968","-108.18376","140300020103	",,"1-26-2024, 11:42 AM EST"
"Black Mountain","1161	","Colorado","SNOTEL","Larimer","8980","40.8879","-105.66404","101900070501	",,"1-26-2024, 11:42 AM EST"
"Black Pine","349	","Montana","SNOTEL","Granite","7210","46.414","-113.43095","170102020203	",,"1-26-2024, 11:42 AM EST"
"Blackhall Mtn","1119	","Wyoming","SNOTEL","Carbon","9839","41.05623","-106.714","101800020504	",,"1-26-2024, 11:42 AM EST"
"Blacks Fork Jct","1162	","Utah","SNOTEL","Summit","8869","40.95814","-110.5828","140401070303	",,"1-26-2024, 11:42 AM EST"
"Blacktail Mtn","1144	","Montana","SNOTEL","Flathead","5650","47.98288","-114.3543","170102080302	",,"1-26-2024, 11:42 AM EST"
"Blackwall Peak","2G03P	","British Columbia","Cooperator Snow Sensors","	","6345","49.08333","-120.76667","170200070205	",,"1-26-2024, 11:42 AM EST"
"Blackwater","350	","Wyoming","SNOTEL","Park","9780","44.37667","-109.79333","100800120209	",,"1-26-2024, 11:42 AM EST"
"Blazed Alder","351	","Oregon","SNOTEL","Clackamas","3650","45.4287","-121.85605","170800010102	",,"1-26-2024, 11:42 AM EST"
"Blewett Pass","352	","Washington","SNOTEL","Chelan","4240","47.35037","-120.6796","170200110501	",,"1-26-2024, 11:42 AM EST"
"Blind Bull Sum","353	","Wyoming","SNOTEL","Sublette","8650","42.964","-110.60973","140401010402	",,"1-26-2024, 11:42 AM EST"
"Blind Park","354	","South Dakota","SNOTEL","Pennington","6890","44.10772","-103.97688","101201100104	",,"1-26-2024, 11:42 AM EST"
"Bloody Dick","355	","Montana","SNOTEL","Beaverhead","7600","45.16507","-113.50099","100200011002	",,"1-26-2024, 11:42 AM EST"
"Blue Lakes","356	","California","SNOTEL","Alpine","8067","38.60801","-119.92455","180400120101	",,"1-26-2024, 11:42 AM EST"
"Blue Mountain Spring","357	","Oregon","SNOTEL","Grant","5870","44.24767","-118.51722","170501160104	",,"1-26-2024, 11:42 AM EST"
"Bobs Hollow","1278	","Utah","SNOTEL","Millard","9319","38.94569","-112.15349","160300051401	",,"1-26-2024, 11:42 AM EST"
"Bogus Basin","978	","Idaho","SNOTEL","Boise","6340","43.76377","-116.09685","170501220201	",,"1-26-2024, 11:42 AM EST"
"Bone Springs Div","358	","Wyoming","SNOTEL","Sheridan","9350","44.67888","-107.5811","100800100102	",,"1-26-2024, 11:42 AM EST"
"Boss Mountain Mine","1C20P	","British Columbia","Cooperator Snow Sensors","	","4846","52.1","-120.86667","	",,"1-26-2024, 11:42 AM EST"
"Bostetter R.S.","359	","Idaho","SNOTEL","Cassia","7500","42.16442","-114.19272","170402120201	",,"1-26-2024, 11:42 AM EST"
"Boulder Mountain","360	","Montana","SNOTEL","Meagher","7950","46.5596","-111.28973","100301030501	",,"1-26-2024, 11:42 AM EST"
"Bourne","361	","Oregon","SNOTEL","Baker","5850","44.83052","-118.18787","170502030101	",,"1-26-2024, 11:42 AM EST"
"Bowman Springs","362	","Oregon","SNOTEL","Umatilla","4530","45.36428","-118.46715","170701030401	",,"1-26-2024, 11:42 AM EST"
"Box Canyon","363	","Montana","SNOTEL","Park","6670","45.2719","-110.24903","100700020902	",,"1-26-2024, 11:42 AM EST"
"Box Creek","364	","Utah","SNOTEL","Sevier","9853","38.50809","-112.01856","160300020106	",,"1-26-2024, 11:42 AM EST"
"Box Springs","1156	","Utah","SNOTEL","Piute","9228","38.49746","-112.00779","160300020107	",,"1-26-2024, 11:42 AM EST"
"Brackett Creek","365	","Montana","SNOTEL","Gallatin","7320","45.89107","-110.93851","100700030403	",,"1-26-2024, 11:42 AM EST"
"Brian Head","1154	","Utah","SNOTEL","Iron","10039","37.67994","-112.85674","160300060201	",,"1-26-2024, 11:42 AM EST"
"Brighton","366	","Utah","SNOTEL","Salt Lake","8766","40.59936","-111.58167","160202040201	",,"1-26-2024, 11:42 AM EST"
"Bristlecone Trail","1111	","Nevada","SNOTEL","Clark","8890","36.31575","-115.69543","150100150206	",,"1-26-2024, 11:42 AM EST"
"Brooklyn Lake","367	","Wyoming","SNOTEL","Albany","10250","41.36038","-106.23038","101800100502	",,"1-26-2024, 11:42 AM EST"
"Brown Duck","368	","Utah","SNOTEL","Duchesne","10574","40.58102","-110.58587","140600030604	",,"1-26-2024, 11:42 AM EST"
"Brown Top","1080	","Washington","SNOTEL","Whatcom","5830","48.92755","-121.19713","171100050601	",,"1-26-2024, 11:42 AM EST"
"Brumley","369	","Colorado","SNOTEL","Lake","10594","39.08758","-106.54231","110200010101	",,"1-26-2024, 11:42 AM EST"
"Brundage Reservoir","370	","Idaho","SNOTEL","Adams","6250","45.04315","-116.13253","170602100104	",,"1-26-2024, 11:42 AM EST"
"Buck Flat","371	","Utah","SNOTEL","Sanpete","9409","39.134","-111.43722","140600090302	",,"1-26-2024, 11:42 AM EST"
"Buck Pasture","1192	","Utah","SNOTEL","Summit","9632","40.84456","-110.66068","140401070301	",,"1-26-2024, 11:42 AM EST"
"Buckboard Flat","1153	","Utah","SNOTEL","San Juan","8924","37.86943","-109.44717","140802030103	",,"1-26-2024, 11:42 AM EST"
"Buckinghorse","1107	","Washington","SNOTEL","Jefferson","4870","47.7086","-123.45747","171100200501	",,"1-26-2024, 11:42 AM EST"
"Buckskin Joe","938	","Colorado","SNOTEL","Park","11166","39.30378","-106.11316","101900010102	",,"1-26-2024, 11:42 AM EST"
"Buckskin Lower","373	","Nevada","SNOTEL","Humboldt","6930","41.75067","-117.53182","160401090502	",,"1-26-2024, 11:42 AM EST"
"Buffalo Park","913	","Colorado","SNOTEL","Grand","9249","40.22838","-106.5962","140100010706	",,"1-26-2024, 11:42 AM EST"
"Bug Lake","374	","Utah","SNOTEL","Rich","7987","41.68541","-111.41987","160102010102	",,"1-26-2024, 11:42 AM EST"
"Bumping Ridge","375	","Washington","SNOTEL","Yakima","4610","46.81003","-121.33058","170300020105	",,"1-26-2024, 11:42 AM EST"
"Bunchgrass Mdw","376	","Washington","SNOTEL","Pend Oreille","5000","48.68688","-117.17633","170102160401	",,"1-26-2024, 11:42 AM EST"
"Burgess Junction","377	","Wyoming","SNOTEL","Sheridan","7880","44.78765","-107.52917","100901010202	",,"1-26-2024, 11:42 AM EST"
"Burnside Lake","1051	","California","SNOTEL","Alpine","8129","38.71943","-119.8942","160502010107	",,"1-26-2024, 11:42 AM EST"
"Burnt Bridge Creek","3C08P	","British Columbia","Cooperator Snow Sensors","	","4360","52.46667","-126.23333","	",,"1-26-2024, 11:42 AM EST"
"Burnt Mountain","942	","Washington","SNOTEL","Pierce","4170","47.0444","-121.94032","171100140103	",,"1-26-2024, 11:42 AM EST"
"Burnt Mtn","981	","Montana","SNOTEL","Carbon","5880","45.2401","-109.45961","100700060802	",,"1-26-2024, 11:42 AM EST"
"Burro Mountain","378	","Colorado","SNOTEL","Rio Blanco","9317","39.87504","-107.59902","140500050302	",,"1-26-2024, 11:42 AM EST"
"Burroughs Creek","379	","Wyoming","SNOTEL","Fremont","8750","43.69733","-109.67021","100800010102	",,"1-26-2024, 11:42 AM EST"
"Burts Miller Ranch","1135	","Utah","SNOTEL","Summit","8000","40.98492","-110.85075","160101010105	",,"1-26-2024, 11:42 AM EST"
"Butte","380	","Colorado","SNOTEL","Gunnison","10200","38.89435","-106.95327","140200010206	",,"1-26-2024, 11:42 AM EST"
"Calamity","1109	","Washington","SNOTEL","Skamania","2500","45.90362","-122.21633","170800020603	",,"1-26-2024, 11:42 AM EST"
"Calvert Creek","381	","Montana","SNOTEL","Deer Lodge","6430","45.8838","-113.32553","100200040801	",,"1-26-2024, 11:42 AM EST"
"Camas Creek Divide","382	","Idaho","SNOTEL","Elmore","5710","43.26548","-115.3453","170402200101	",,"1-26-2024, 11:42 AM EST"
"Camp Jackson","383	","Utah","SNOTEL","San Juan","8858","37.81333","-109.48723","140802010301	",,"1-26-2024, 11:42 AM EST"
"Canyon","384	","Wyoming","SNOTEL","Park","7870","44.71961","-110.51084","100700010705	",,"1-26-2024, 11:42 AM EST"
"Carrot Basin","385	","Montana","SNOTEL","Gallatin","9000","44.96192","-111.29403","100200080105	",,"1-26-2024, 11:42 AM EST"
"Carson Pass","1067	","California","SNOTEL","Alpine","8355","38.6927","-120.0022","180201290101	",,"1-26-2024, 11:42 AM EST"
"Cascade #2","387	","Colorado","SNOTEL","San Juan","9012","37.65751","-107.80287","140801040201	",,"1-26-2024, 11:42 AM EST"
"Cascade Mountain","1039	","Utah","SNOTEL","Utah","7774","40.283","-111.60992","160202030505	",,"1-26-2024, 11:42 AM EST"
"Cascade Summit","388	","Oregon","SNOTEL","Deschutes","5100","43.59042","-122.0601","170900010301	",,"1-26-2024, 11:42 AM EST"
"Casper Mtn.","389	","Wyoming","SNOTEL","Natrona","7920","42.73362","-106.31789","101800070804	",,"1-26-2024, 11:42 AM EST"
"Castle Creek","1130	","Wyoming","SNOTEL","Fremont","8400","43.6748","-109.3774","100800010401	",,"1-26-2024, 11:42 AM EST"
"Castle Valley","390	","Utah","SNOTEL","Iron","9607","37.66098","-112.74093","160300010201	",,"1-26-2024, 11:42 AM EST"
"Cave Mountain","1152	","Nevada","SNOTEL","White Pine","10578","39.16337","-114.6133","160600080402	",,"1-26-2024, 11:42 AM EST"
"Cayuse Pass","1085	","Washington","SNOTEL","Pierce","5240","46.86954","-121.5343","171100140301	",,"1-26-2024, 11:42 AM EST"
"Cedar Kiteen","4B18P	","British Columbia","Cooperator Snow Sensors","	","2992","55.15","-128.7","	",,"1-26-2024, 11:42 AM EST"
"Cedar Pass","391	","California","SNOTEL","Modoc","7030","41.58233","-120.3025","180200020603	",,"1-26-2024, 11:42 AM EST"
"Celista Mountain","1F06P	","British Columbia","Cooperator Snow Sensors","	","5030","51.4","-118.98333","	",,"1-26-2024, 11:42 AM EST"
"Chalender","1139	","Arizona","SNOTEL","Coconino","7035","35.26238","-112.06221","150602020305	",,"1-26-2024, 11:42 AM EST"
"Chalk Creek #1","392	","Utah","SNOTEL","Summit","9171","40.85464","-111.04765","160201010301	",,"1-26-2024, 11:42 AM EST"
"Chalk Creek #2","393	","Utah","SNOTEL","Summit","8208","40.88529","-111.06954","160201010301	",,"1-26-2024, 11:42 AM EST"
"Chamita","394	","New Mexico","SNOTEL","Rio Arriba","8383","36.95606","-106.65723","130201020204	",,"1-26-2024, 11:42 AM EST"
"Chapman Tunnel","1101	","Colorado","SNOTEL","Pitkin","10100","39.2621","-106.62944","140100040504	",,"1-26-2024, 11:42 AM EST"
"Chemult Alternate","395	","Oregon","SNOTEL","Klamath","4850","43.22625","-121.80662","180102010201	",,"1-26-2024, 11:42 AM EST"
"Chena Lakes","1260	","Alaska","SNOTEL","Fairbanks North Star","500","64.75793","-147.21823","190803060901	",,"1-26-2024, 11:42 AM EST"
"Chepeta","396	","Utah","SNOTEL","Duchesne","10499","40.77458","-110.0105","140600031202	",,"1-26-2024, 11:42 AM EST"
"Chicago Ridge","1312	","Montana","SNOTEL","Sanders","5800","48.062","-115.698","170102131301	",,"1-26-2024, 11:42 AM EST"
"Chilliwack River","1D17P	","British Columbia","Cooperator Snow Sensors","	","5318","49.01667","-121.7","171100010206	",,"1-26-2024, 11:42 AM EST"
"Chisana","1093	","Alaska","SNOTEL","Valdez-Cordova","3320","62.069","-142.049","190803010305	",,"1-26-2024, 11:42 AM EST"
"Chocolate Gulch","895	","Idaho","SNOTEL","Blaine","6310","43.7685","-114.41812","170402190301	",,"1-26-2024, 11:42 AM EST"
"Cinnabar Park","1046	","Wyoming","SNOTEL","Albany","9707","41.23843","-106.23101","101800100503	",,"1-26-2024, 11:42 AM EST"
"Clackamas Lake","398	","Oregon","SNOTEL","Clackamas","3400","45.09658","-121.75443","170900110301	",,"1-26-2024, 11:42 AM EST"
"Clayton Springs","983	","Utah","SNOTEL","Garfield","10049","37.9725","-111.83355","160300020501	",,"1-26-2024, 11:42 AM EST"
"Clear Creek #1","399	","Utah","SNOTEL","Utah","8975","39.86671","-111.28363","160202020102	",,"1-26-2024, 11:42 AM EST"
"Clear Creek #2","400	","Utah","SNOTEL","Utah","7837","39.89275","-111.25154","160202020102	",,"1-26-2024, 11:42 AM EST"
"Clear Lake","401	","Oregon","SNOTEL","Wasco","3810","45.18832","-121.6916","170703060901	",,"1-26-2024, 11:42 AM EST"
"Cloud Peak Reservoir","402	","Wyoming","SNOTEL","Johnson","9860","44.40343","-107.06057","100902060301	",,"1-26-2024, 11:42 AM EST"
"Clover Meadow","403	","Montana","SNOTEL","Madison","8600","45.01788","-111.8456","100200070803	",,"1-26-2024, 11:42 AM EST"
"Cochetopa Pass","1059	","Colorado","SNOTEL","Saguache","10061","38.16273","-106.5988","130100040203	",,"1-26-2024, 11:42 AM EST"
"Cold Springs","405	","Wyoming","SNOTEL","Fremont","9630","43.27676","-109.44585","100800010702	",,"1-26-2024, 11:42 AM EST"
"Cold Springs Camp","406	","Oregon","SNOTEL","Klamath","5940","42.53305","-122.17683","180102030202	",,"1-26-2024, 11:42 AM EST"
"Coldfoot","958	","Alaska","SNOTEL","Yukon-Koyukuk","1040","67.25333","-150.183","190901010604	",,"1-26-2024, 11:42 AM EST"
"Cole Canyon","982	","Wyoming","SNOTEL","Crook","5910","44.48632","-104.41057","101202030302	",,"1-26-2024, 11:42 AM EST"
"Cole Creek","407	","Montana","SNOTEL","Carbon","7850","45.19405","-109.34548","100700060801	",,"1-26-2024, 11:42 AM EST"
"Columbine","408	","Colorado","SNOTEL","Jackson","9167","40.39591","-106.60437","101800010102	",,"1-26-2024, 11:42 AM EST"
"Columbine Pass","409	","Colorado","SNOTEL","Montrose","9171","38.41819","-108.38313","140200050202	",,"1-26-2024, 11:42 AM EST"
"Columbus Basin","904	","Colorado","SNOTEL","La Plata","10781","37.44146","-108.02468","140801050101	",,"1-26-2024, 11:42 AM EST"
"Combination","410	","Montana","SNOTEL","Granite","5600","46.46523","-113.39358","170102020401	",,"1-26-2024, 11:42 AM EST"
"Cool Creek","411	","Idaho","SNOTEL","Clearwater","6280","46.76361","-115.29528","170603070702	",,"1-26-2024, 11:42 AM EST"
"Cooper Lake","959	","Alaska","SNOTEL","Kenai Peninsula","1200","60.39027","-149.6936","190203021205	",,"1-26-2024, 11:42 AM EST"
"Copeland Lake","412	","Colorado","SNOTEL","Boulder","8555","40.20733","-105.5695","101900050202	",,"1-26-2024, 11:42 AM EST"
"Copper Bottom","413	","Montana","SNOTEL","Lewis And Clark","5200","47.05678","-112.595","170102030103	",,"1-26-2024, 11:42 AM EST"
"Copper Camp","414	","Montana","SNOTEL","Lewis And Clark","6950","47.08158","-112.72955","170102030103	",,"1-26-2024, 11:42 AM EST"
"Copper Mountain","415	","Colorado","SNOTEL","Summit","10523","39.48917","-106.17154","140100020302	",,"1-26-2024, 11:42 AM EST"
"Corduroy Flat","1209	","Nevada","SNOTEL","White Pine","8640","38.99651","-115.42478","160600121206	",,"1-26-2024, 11:42 AM EST"
"Coronado Trail","416	","Arizona","SNOTEL","Apache","8418","33.80418","-109.15352","150400040501	",,"1-26-2024, 11:42 AM EST"
"Corral","1236	","Utah","SNOTEL","Carbon","8207","39.65795","-110.37906","140600070903	",,"1-26-2024, 11:42 AM EST"
"Corral Canyon","417	","Nevada","SNOTEL","Elko","8445","40.27551","-115.54017","160401030401	",,"1-26-2024, 11:42 AM EST"
"Corral Pass","418	","Washington","SNOTEL","Pierce","5800","47.01872","-121.46464","171100140307	",,"1-26-2024, 11:42 AM EST"
"Cottonwood Creek","419	","Wyoming","SNOTEL","Lincoln","7670","42.6459","-110.81482","170401050102	",,"1-26-2024, 11:42 AM EST"
"Couch Summit","1306	","Idaho","SNOTEL","Camas","6800","43.51768","-114.8022","170501130204	",,"1-26-2024, 11:42 AM EST"
"Cougar Mountain","420	","Washington","SNOTEL","King","3200","47.27666","-121.67138","171100130202	",,"1-26-2024, 11:42 AM EST"
"County Line","422	","Oregon","SNOTEL","Umatilla","4830","45.19107","-118.55015","170601040202	",,"1-26-2024, 11:42 AM EST"
"Cozy Cove","423	","Idaho","SNOTEL","Valley","5400","44.28846","-115.65508","170501200403	",,"1-26-2024, 11:42 AM EST"
"Crab Creek","424	","Idaho","SNOTEL","Clark","6900","44.437","-111.99384","170402140108	",,"1-26-2024, 11:42 AM EST"
"Crater Meadows","425	","Idaho","SNOTEL","Clearwater","5960","46.56394","-115.28903","170603070502	",,"1-26-2024, 11:42 AM EST"
"Crazyman Flat","1010	","Oregon","SNOTEL","Klamath","6180","42.6381","-120.94917","180102020101	",,"1-26-2024, 11:42 AM EST"
"Creamers Field","1302	","Alaska","SNOTEL","Fairbanks North Star","440","64.86534","-147.73617","190803060907	",,"1-26-2024, 11:42 AM EST"
"Crosho","426	","Colorado","SNOTEL","Rio Blanco","8973","40.16749","-107.05769","140500010106	",,"1-26-2024, 11:42 AM EST"
"Crow Creek","1045	","Wyoming","SNOTEL","Albany","8335","41.22824","-105.38571","101900090104	",,"1-26-2024, 11:42 AM EST"
"Crowder Flat","977	","California","SNOTEL","Modoc","5170","41.89318","-120.75202","180102040103	",,"1-26-2024, 11:42 AM EST"
"Crystal Lake","427	","Montana","SNOTEL","Fergus","6050","46.78942","-109.51205","100401030204	",,"1-26-2024, 11:42 AM EST"
